Position,Region,Name, VolInBill ,NumProps,Prop Type
Seller,MidEast,AL MAZAYA REAL ESTAT..., 0.12 ,1,All
Seller,MidEast,AZORIM INVESTMENT, 0.10 ,1,All
Seller,MidEast,DOHA MUNICIPALITY, 0.10 ,1,All
Seller,MidEast,KINGDOM HOLDING CO, 0.08 ,1,All
Seller,MidEast,HEWLETT-PACKARD, 0.07 ,1,All
Seller,MidEast,AFRICA ISRAEL GROUP, 0.05 ,1,All
Seller,MidEast,BLUE SQUARE ISRAEL L..., 0.04 ,1,All
Seller,MidEast,EMIRATES REIT, 0.03 ,1,All
Seller,MidEast,IDB GROUP, 0.03 ,1,All
Seller,MidEast,ARISON GROUP, 0.02 ,1,All
Seller,MidEast,KSCC AL-TIJARIA, 0.02 ,1,All
Seller,MidEast,TDIC, 0.02 ,1,All
Buyer,NorthAmerica,EQUITY RESIDENTIAL, 9.10 ,86,All
Buyer,NorthAmerica,SPIRIT REALTY CAPITAL, 7.47 ,377,All
Buyer,NorthAmerica,BLACKSTONE, 7.09 ,340,All
Buyer,NorthAmerica,AVALONBAY COMMUNITIES, 6.09 ,77,All
Buyer,NorthAmerica,AMERICAN REALTY CAPI..., 5.16 ,388,All
Buyer,NorthAmerica,ESSEX PROPERTY TRUST, 4.79 ,82,All
Buyer,NorthAmerica,JP MORGAN, 4.46 ,36,All
Buyer,NorthAmerica,STARWOOD CAPITAL GROUP, 4.30 ,170,All
Buyer,NorthAmerica,CAISSE DE DEPOT, 3.69 ,34,All
Buyer,NorthAmerica,REALTY INCOME CORP, 3.67 ,639,All
Buyer,NorthAmerica,H&R REIT, 3.28 ,27,All
Buyer,NorthAmerica,INVESCO RE, 3.12 ,41,All
Buyer,NorthAmerica,METLIFE, 3.04 ,30,All
Buyer,NorthAmerica,CALPERS, 3.01 ,19,All
Buyer,NorthAmerica,COLE RE INVESTMENTS, 2.88 ,76,All
Buyer,NorthAmerica,LONE STAR, 2.82 ,68,All
Buyer,NorthAmerica,BROOKFIELD ASSET MGMT, 2.82 ,106,All
Buyer,NorthAmerica,GIC (GOVT OF SINGAPO..., 2.80 ,5,All
Buyer,NorthAmerica,NORGES BANK INVT MGMT, 2.65 ,12,All
Buyer,NorthAmerica,ARCP, 2.57 ,99,All
Seller,NorthAmerica,LEHMAN BROS HOLDINGS, 33.93 ,404,All
Seller,NorthAmerica,BLACKSTONE, 8.37 ,134,All
Seller,NorthAmerica,COLE RE INVESTMENTS, 7.56 ,379,All
Seller,NorthAmerica,PRIMARIS REIT, 4.96 ,43,All
Seller,NorthAmerica,EQUITY RESIDENTIAL, 4.67 ,94,All
Seller,NorthAmerica,GE CAPITAL, 4.57 ,201,All
